Client,Project,ProjectCode,Type
WZR Development ULC,Azure Migration Phase 4 - O365 Migration,18-WESTE2018-002-PS,Azure
SI Systems,Windows 10 and Intune Strategy and Roadmap,18-SISYS2018-004-PS,Mod Comp
Pembina Pipeline Corporation,Active Directory Upgrade,01-PEMBI2018-002-PS,Cloud Prod
ATCO Electric Ltd - Transmission Division,SCCM Implementation,29-ATCOG2018-002-PS,Mod Comp
Immigrant Services Calgary,Microsoft O365 Consulting,01-IMMIG2018-001-PS,Cloud Prod
Enerflex,.Net Application Troubleshooting,18-REGIN2018-001-PS,Development
Alberta Teacher's Association,Windows 10 Imaging,32-ALBEB2018-003-PS,Mod Comp
AltaGas,Networking & Edge Security,12-ALTAG2018-008-PS,Azure
Regional Municipality of Wood Buffalo,SharePoint Online Migration,24-REGIO2018-001-PS,Cloud Prod
WZR Development ULC,Azure Migration Phase 4 - Workload Migration,18-WESTE2018-001-PS,Azure
Hamilton Health Sciences,Sharepoint Workshops,HAMIL2018-001-PS,Cloud Prod
Alberta Teacher's Association,Windows 10 and SCCM Consulting,32-ALBEB2018-001-PS,Mod Comp
The York School,Azure AD Planning,13-THEYO2018-001-PS,Cloud Prod
EQUITY FINANCIAL TRUST,MPLS/Express Route Review,30-EQUIT2018-003-PS,Azure
Alberta Securities Commission,Windows 10 Support,01-ALBER2018-001-PS,Mod Comp
Polaris Transportation Group,WordPress & PHP Websites to Azure PaaS Migration,33-POLAR2018-002-PS,Azure
Trimac Management Services LP,PowerShell Scripting,01-TRIMA2018-001-PS,Development
Katalyst Data Management,Azure and Application Architecture - Phase 0,25-KATAL2018-001-PS,Azure
Peoples Trust,Exchange Online Assessment,12-PEOPL2018-002-PS,Cloud Prod
STURGEON COUNTY,Intune PoC,24-STURG2018-001-PS,Mod Comp
Dominion Diamond,Azure Automation & B-Series PoC,13-DOMIN2018-003-PS,Azure
WZR Development ULC,WordPress Authentication & Security,18-WESTE2018-006-PS,Azure
AB Pension Services,Azure Stack Sizing Engagement,19-ABPEN2018-001-PS,Azure
Burnco,ADFS Health Check,25-BURNC2018-002-PS,Cloud Prod
Micotan Software Company Ltd.,Azure Security Assessment,01-MICOT2018-001-PS,Azure
Parex Resources,SCCM Upgrade & Troubleshooting,01-PAREX2018-002-PS,Mod Comp
WIPRO SOLUTIONS CANADA LIMITED,Windows 10 Migration,29-ATCOG2018-003-PS,Mod Comp
Calfrac Well Services,Ad Hoc Resources,16-CALFR2018-002-PS,Other
ClearStream Energy Holdings LP,Exchange Online Migration,32-CLEAR2018-001-PS,Cloud Prod
Pason,Intune Consulting,25-PASON2018-001-PS-MF,Mod Comp
THE BRENDA STRAFFORD FOUNDATION LTD,PCC Data Requirements Project,01-BREND2018-002-PS,Data
Auto Canada,Office 365 Base Framework with Intune and Initial Mailbox Migration,01-AUTOC2018-001-PS,Cloud Prod
Access Pipeline,Cloud Transformation Initiative,12-ACCES2018-003-PS,Azure
Plains Midstream Canada ULC,Office 365 Migration - Build & Deploy,01-PLAIN2017-004-PS,Cloud Prod
Servus Credit Union,Azure Scaffolding Engagement,19-SERVU2018-001-PS,Azure
Nexen Energy Inc.,UPN Change Initiative,18-NEXEN2018-001-PS,Cloud Prod
Polaris Transportation Group,Azure DR & Migration,33-POLAR2018-001-PS,Azure
Belkorp Industries Inc.,Cloud Services Roadmap and Business Case,BELKO2018-001-PS,Azure
Plains Midstream Canada ULC,SharePoint IaaS Migration,01-PLAIN2018-003-PS,Cloud Prod
Bonavista Energy,Citrix Upgrade,18-BONAV2018-004-PS,Mod Comp
Travel Alberta,"Digital Marketing Hardening, Remediation & Transformation Initiatives",01-TRAVA2018-002-PS,Azure
Calfrac Well Services,Azure AD Premium Deployment,18-CALFR2018-003-PS,Cloud Prod
Kinectrics Inc.,AD Remediation,33-KINEC2018-001-PS,Cloud Prod
WZR Development ULC,Email Archive Recovery,18-WESTE2018-005-PS,Cloud Prod
AltaGas,ADFS Implementation,12-ALTAG2018-011-PS,Cloud Prod
Tundra Energy Marketing Limited,SCADA Backup Implementation,01-TUNDR2018-003-PS,Azure
Katalyst Data Management,Azure and Application Architecture - Phase 1 Intirm LOE,25-KATAL2018-002-PS,Azure
Calgary Public Library,FIM to MIM Migration,31-CALGE2018-002-PS,Cloud Prod
AltaGas,MFA for Citrix,12-ALTAG2018-014-PS,Mod Comp
Trinidad Drilling,Skype Call Quality Dashboard,35-TRINI2018-001-PS,Cloud Prod
University of Manitoba,O365 Consulting,26-UNIVA2018-003-PS,Cloud Prod
Jamieson Laboratories Ltd.,Azure SQL Database & Power BI POC,41-JAMIE2018-002-PS,Data
inCuBE8r Inc.,Application Development,38-REZOL2018-001-PS,Development
United Safety Ltd.,Hybrid Exchange,25-UNITE2018-001-PS,Cloud Prod
The OWL Solutions,Consulting,OWLSO2018-001-PS,Development
Enerflex,On-Call Support,18-ENERF2018-002-PS,Development
AltaGas,Windows 10 Limited Deployment,01-ALTAG2018-012-PS,Mod Comp
Habanero Consulting Group,Independent Consulting,35-HABAN2018-001-PS,Mod Comp
Calfrac Well Services,Azure Base Framework,18-CALFR2018-004-PS,Azure
SI Systems,InTune POC,18-SISYS2018-006-PS,Mod Comp
ARC Financial,Second Exchange Server,12-ARCFI2018-001-PS,Cloud Prod
Driving Force,Active Directory Upgrade,32-DRIVI2018-001-PS,Cloud Prod
Kinectrics Inc.,Windows 10 and SCCM,33-KINEC2018-002-PS,Mod Comp
Liam Properties,O365 Migration,18-LIAMP2018-001-PS,Cloud Prod
Aurora Cannabis Enterprises Inc.,Skype Troubleshooting,19-AUROR2018-006-PS,Cloud Prod
Southview Alliance Church,Skype for Business Phone Migration,18-SOUTH2018-001-PS,Cloud Prod
WZR Development ULC,M-Files Secure DMZ,18-WESTE2018-007-PS,Azure
Plains Midstream Canada ULC,Fixed Fee Q9 Infrastructure Decom Tasks,01-PLAIN2018-004-PS,Azure
Northwest Territories Power Corporation,"Windows 10, SCCM and GPO Consulting",24-NORTH2018-001-PS,Mod Comp
AltaGas,SCCM 1806 Build,01-ALTAG2018-015-PS,Mod Comp
Orlando Corporation,Active Directory Upgrade,43-ORLAN2018-001-PS,Cloud Prod
Tourmaline Oil Corp,Cloud Services Execution,25-TOURM2018-004-PS,Azure
Parkland Fuel Corporation,Microsoft Resourcing - Performance Monitoring & Troubleshooting,22-PARKL2018-005-PS,Cloud Prod
ClearStream Energy Holdings LP,O365 Implementation & Migration,32-CLEAR2018-002-PS,Cloud Prod
Hewlett Packard Enterprise,OneDrive for Business,23-HPE2018-001-PS,Cloud Prod
"Brock Solutions, Inc.",Azure Assistance,23-BROCK2018-002-PS,Azure
AGF Management Limited,InTune Pilot,30-AGFIN2018-005-PS,Mod Comp
Access Pipeline,Desktop Support Resource,12-ACCES2018-005-PS,Mod Comp
Innovative Targeting Solutions Inc.,Website Support,00-INNOV2018-001-PS,Azure
THE BRENDA STRAFFORD FOUNDATION LTD,BI & Analytics Patient Care,46-BREND2018-002-PS,Data
Parkland Fuel Corporation,Microsoft Resourcing-Active Directory,22-PARKL2018-007-PS,Cloud Prod
City of Leduc,Office 365 Base Framework,32-CITYI2018-001-PS,Cloud Prod
Access Pipeline,PM/BA for End User Compute,35-ACCES2018-008-PS,Mod Comp
AGF Management Limited,Active Directory Health Check,23-AGFIN2018-004-PS-MF,Cloud Prod
ENMAX Corporation,O365/AD Audit and Remediation,35-ENMAX2018-002-PS,Cloud Prod
Dominion Diamond,ADFS Implementation,13-DOMIN2018-004-PS,Cloud Prod
Dominion Diamond,Windows 10 Auto-Pilot POC,13-DOMIN2018-006-PS,Mod Comp
Calgary Public Library,2-Tier Authentication,31-CALGE2018-003-PS,Cloud Prod
TOWN OF HIGH RIVER,O365 Collaboration Demo,35-TOWNB2018-001-PS,Cloud Prod
Aurora College,ADFS for Student Information System,32-AUROA2018-002-PS,Cloud Prod
Lethbridge Regional Police Service,Windows 10 Consulting,31-LETHB2018-001-PS,Mod Comp
PacWest Canopy,O365 Migration,16-PACWE2018-001-PS,Cloud Prod
Graham Construction,SQL Assessment,01-GRAHB2018-001-PS,Data
Wood Buffalo Environmental Association,IT Services Roadmap,40-WOODB2018-001-PS,Azure
The OWL Solutions,Dashboard MVP,00-OWLSO2018-002-PS,Development
